"","name_of_sat","country_of_contractor","users","purpose","class_of_orbit","launch_site","GEO","LEO","MEO","Guiana","Baikonur","Cape","Vandenberg","Xichang","Commercial","Government","Military","Civil","Communication","EObs","TechDev","GPS","SpScience","TechDemo","Martime"
"140","Beidou G3","China","Military/Government","Navigation/Global Positioning","GEO","Xichang Satellite Launch Center",1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
"141","Beidou G4","China","Military/Government","Navigation/Global Positioning","GEO","Xichang Satellite Launch Center",1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
"142","Beidou G5","China","Military/Government","Navigation/Global Positioning","GEO","Xichang Satellite Launch Center",1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
"143","Beidou IGSO-1","China","Military/Government","Navigation/Global Positioning","GEO","Xichang Satellite Launch Center",1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
"144","Beidou IGSO-2","China","Military/Government","Navigation/Global Positioning","GEO","Xichang Satellite Launch Center",1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
"145","Beidou IGSO-3","China","Military/Government","Navigation/Global Positioning","GEO","Xichang Satellite Launch Center",1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
"146","Beidou IGSO-4","China","Military/Government","Navigation/Global Positioning","GEO","Xichang Satellite Launch Center",1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
"147","Beidou IGSO-5","China","Military/Government","Navigation/Global Positioning","GEO","Xichang Satellite Launch Center",1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
"148","Beidou IGSO-6","China","Military/Government","Navigation/Global Positioning","GEO","Xichang Satellite Launch Center",1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
"149","Beidou M1","China","Military/Government","Navigation/Global Positioning","MEO","Xichang Satellite Launch Center",0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
"150","BeijinGalaxy-1","China/United Kingdom","Civil","Earth Observation","LEO","Plesetsk Cosmodrome",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"151","Belintersat-1","China/France","Government","Communications","GEO","Xichang Satellite Launch Center",1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"152","BermudaSat-1","USA","Commercial","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"153","BisonSat","USA","Civil","Earth Observation/Technology Development","LEO","Cape Canaveral",0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"154","BKA 2","Russia","Government","Earth Observation","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"155","Brazilsat B-2","USA","Military/Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"156","Brazilsat B-3","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"157","Brazilsat B-4","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"158","BRISat","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"159","BRITE-CA-1","Canada","Civil","Space Science","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"160","BRITE-PL-1","Poland","Government","Space Science","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"161","BRITE-PL-2","Poland","Government","Space Science","LEO","Taiyuan Launch Center",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"162","BSAT-3A","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"163","BSAT-3B","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"164","BSAT-3C/JCSat 110-R","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"165","Bugsat-1","Argentina","Commercial","Technology Development","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"166","Calipso","France","Government","Earth Science","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"167","Canopus-B","Russia","Government","Earth Observation","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"168","CartoSat 2A","India","Military","Earth Observation","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"169","CartoSat 2B","India","Government","Earth Observation","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"170","CartoSat 2C","India","Government","Earth Observation","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"171","Cassiope","Canada","Government","Earth Science","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"172","CBERS 4","China","Government","Earth Observation","LEO","Taiyuan Launch Center",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"173","CFESat","United Kingdom","Government","Technology Development","LEO","Cape Canaveral",0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"174","Chandra X-Ray Observatory (CXO)","USA","Government","Space Science","Elliptical","Cape Canaveral",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
"175","ChinaSat 11","China","Commercial","Communications","GEO","Xichang Satellite Launch Center",1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"176","ChinaSat 1C","China","Commercial","Communications","GEO","Xichang Satellite Launch Center",1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"177","ChinaSat 2C","China","Commercial/Government","Communications","GEO","Xichang Satellite Launch Center",1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
"178","ChinaSat 6B","France/Italy","Commercial/Government","Communications","GEO","Xichang Satellite Launch Center",1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
"179","Chuangxin 1-1","China","Government","Communications","LEO","Taiyuan Launch Center",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"180","Chuangxin 1-2","China","Government","Earth Observation","LEO","Jiuquan Satellite Launch Center",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"181","Chuangxin 1-3","China","Government","Earth Observation","LEO","Jiuquan Satellite Launch Center",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"182","Chuangxin 1-4","China","Government","Earth Observation","LEO","Jiuquan Satellite Launch Center",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"183","Chuangzin-3","China","Government","Technology Development","LEO","Taiyuan Launch Center",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"184","ChubuSat 1","Japan","Civil","Technology Development","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"185","Ciel-2","France","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"186","CINEMA-1","USA","Civil","Space Science","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"187","USA 257","USA","Military","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"188","Cloudsat","USA","Government/Civil","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"189","COMS-1","South Korea","Government","Earth Observation/Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"190","COMSATBw-1","France/Italy","Military","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"191","COMSATBw-2","France/Italy","Military","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"192","Condor E2","Russia","Military","Earth Observation","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"193","Coriolis","USA","Military","Earth/Space Science","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"194","COSMIC-A","USA","Government/Civil","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"195","COSMIC-B","USA","Government/Civil","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"196","COSMIC-D","USA","Government/Civil","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
