"","name_of_sat","country_of_contractor","users","purpose","class_of_orbit","launch_site","GEO","LEO","MEO","Guiana","Baikonur","Cape","Vandenberg","Xichang","Commercial","Government","Military","Civil","Communication","EObs","TechDev","GPS","SpScience","TechDemo","Martime"
"272","Echostar 17","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"273","Echostar 18","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"274","Echostar 3","USA","Commercial","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"275","Echostar 7","USA","Commercial","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"276","Echostar 8","USA","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"277","Echostar G1","USA","Commercial","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"278","Cosmos 2510","Russia","Military","Earth Observation","Elliptical","Plesetsk Cosmodrome",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"279","Electro-L1","Russia","Government","Earth Observation","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"280","Electro-L2","Russia","Government","Earth Observation","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"281","ELISA-E12","France","Military","Earth Observation","LEO","Guiana Space Center",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"282","ELISA-E24","France","Military","Earth Observation","LEO","Guiana Space Center",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"283","ELISA-W11","France","Military","Earth Observation","LEO","Guiana Space Center",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"284","ELISA-W23","France","Military","Earth Observation","LEO","Guiana Space Center",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"285","EO-1","USA","Government","Earth Observation/Research","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"286","Terra","USA","Government","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"287","Aura","USA","Government","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"288","Aqua","USA/Japan/Brazil","Government","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"289","e-st@r-2","Italy","Civil","Technology Development","LEO","Guiana Space Center",0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"290","Eurasiasat 1","France","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"291","Eutelsat 10A","France","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"292","Eutelsat 113 West-A","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"293","Eutensat 115 West-B","USA","Commercial","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"294","Eutelsat 117 West A","USA","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"295","Eutelsat 117 West B","USA","Commercial","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"296","Eutelsat 12 West A","Italy","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"297","Eutelsat 16A","France","Commercial","Communications","GEO","Xichang Satellite Launch Center",1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"298","Eutelsat 16C","France/Russia","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"299","Eutelsat 172A","France/Italy","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"300","Eutelsat 25B","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"301","Eutelsat 33A","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"302","Eutelsat 33B","France","Commercial","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"303","Eutelsat 33C","France","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"304","Eutelsat 36A","France","Commercial","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"305","Eutelsat 36B","France","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"306","Eutelsat 48A","France/UK/Germany","Commercial","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"307","Eutelsat 48B","Italy","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"308","Eutelsat 5 West A","France","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"309","Eutelsat 65 West-A","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"310","Eutelsat 7A","France","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"311","Eutelsat 7B","France","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"312","Eutelsat 8 West A","France","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"313","Eutelsat 8 West B","France/Italy","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"314","Eutelsat Hot Bird 13A","France","Commercial","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"315","Eutelsat 9A","France","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"316","Eutelsat Hot Bird 13E","France/UK/Germany/Spain","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"317","Eutelsat Hot Bird 13D","France","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"318","Eutelsat Hot Bird 13B","France/UK/Germany/Spain","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"319","Eutelsat Hot Bird 13C","France","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"320","Eutelsat KA-SAT 9A","France/UK/Germany/Spain","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"321","exactView 1","United Kingdom","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"322","exactView 6","USA","Commercial","Communications","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"323","Express AM-22","Russia/France","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"324","Express AMU1","France/UK/Germany/Spain","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"325","Express-A1R","Russia","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"326","Express-AM2","Russia/France","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"327","Express-AM3","Russia/France","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"328","Express-AM33","Russia/France","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"329","Express-AM44","Russia/France","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"330","Express-AM5","Russia","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"331","Express-AM6","Russia","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"332","Express-AM7","France/UK/Germany/Spain","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"333","Express-AM8","Russia","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"334","Express-AT1","Russia","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"335","Express-AT2","Russia","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"336","Falconsat-3","USA","Military/Civil","Technology Development","LEO","Cape Canaveral",0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
"337","Fengniao 1A","China","Government","Technology Development","LEO","Taiyuan Launch Center",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"338","Fengyun 2D","China","Government","Earth Observation","GEO","Xichang Satellite Launch Center",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"339","Fengyun 2E","China","Government","Earth Observation","GEO","Xichang Satellite Launch Center",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"340","Fengyun 2F","China","Government","Earth Observation","GEO","Xichang Satellite Launch Center",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"341","Fengyun 2G","China","Government","Earth Observation","GEO","Xichang Satellite Launch Center",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"342","Fengyun 3A","China","Government","Earth Observation","LEO","Taiyuan Launch Center",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"343","Fengyun 3B","China","Government","Earth Observation","LEO","Taiyuan Launch Center",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"344","Fengyun 3C","China","Government","Earth Observation","LEO","Taiyuan Launch Center",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"345","Fermi Gamma-Ray Space Telescope","USA","Government","Space Science","LEO","Cape Canaveral",0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
"346","USA 215","USA","Military","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"347","USA 234","USA","Military","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"348","USA 247","USA","Military","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"349","USA 267","USA","Military","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"350","Firebird-A","USA","Government/Civil","Space Science","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
"351","Firebird-B","USA","Government/Civil","Space Science","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
"352","Firebird-C","USA","Government/Civil","Space Science","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
"353","Firebird-D","USA","Government/Civil","Space Science","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
"354","USA 46","USA","Military","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"355","Formosat-2","France/UK/Germany/Taiwan","Government/Military","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"356","Fast On-orbit Recording of Transient Events) FORTÉ","USA","Government","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"357","Fox-1A","USA","Civil","Communications/Technology Development","LEO","Cape Canaveral",0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0
"358","FUNCube-1 (AO-73)","UK/Netherlands","Civil","Communications","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"359","Galaxy-11","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"360","Galaxy-12","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"361","Galaxy-14","USA","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"362","Galaxy-15","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"363","Galaxy-17","France/Italy","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"364","Galaxy-25","USA","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"365","Galileo FOC FM1","Germany/UK","Commercial","Navigation/Global Positioning","MEO","Guiana Space Center",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"366","Galileo FOC FM10","Germany/UK","Commercial","Navigation/Global Positioning","MEO","Guiana Space Center",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"367","Galileo FOC FM11","Germany/UK","Commercial","Navigation/Global Positioning","MEO","Guiana Space Center",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"368","Galileo FOC FM2","Germany/UK","Commercial","Navigation/Global Positioning","MEO","Guiana Space Center",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"369","Galileo FOC FM3","Germany/UK","Commercial","Navigation/Global Positioning","MEO","Guiana Space Center",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"370","Galileo FOC FM4","Germany/UK","Commercial","Navigation/Global Positioning","MEO","Guiana Space Center",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"371","Galileo FOC FM5","Germany/UK","Commercial","Navigation/Global Positioning","MEO","Guiana Space Center",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"372","Galileo FOC FM6","Germany/UK","Commercial","Navigation/Global Positioning","MEO","Guiana Space Center",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"373","Galileo FOC FM8","Germany/UK","Commercial","Navigation/Global Positioning","MEO","Guiana Space Center",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"374","Galileo FOC FM9","Germany/UK","Commercial","Navigation/Global Positioning","MEO","Guiana Space Center",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"375","Galileo IOV-1 FM2","Germany/UK/Italy","Commerical","Navigation/Global Positioning","MEO","Guiana Space Center",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"376","Galileo IOV-1 PFM","Germany/UK/Italy","Commercial","Navigation/Global Positioning","MEO","Guiana Space Center",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"377","Galileo IOV-2 FM3","Germany/UK/Italy","Commercial","Navigation/Global Positioning","MEO","Guiana Space Center",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"378","Galileo IOV-2 FM4","Germany/UK/Italy","Commercial","Navigation/Global Positioning","MEO","Guiana Space Center",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"379","Gaofen 1","China","Government","Earth Observation","LEO","Jiuquan Satellite Launch Center",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"380","Gaofen 2","China","Government","Earth Observation","LEO","Taiyuan Launch Center",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"381","Gaofen 4","China","Government","Earth Observation","GEO","Xichang Satellite Launch Center",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"382","Gaofen 8","China","Government","Earth Observation","LEO","Taiyuan Launch Center",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"383","Gaofen 9","China","Government","Earth Observation","LEO","Jiuquan Satellite Launch Center",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"384","Cosmos 2473","Russia","Military","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"385","Cosmos 2513","Russia","Military","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"386","Garuda-1","USA","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"387","GATOSS","Denmark","Commercial","Technology Development","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"388","GEARRSAT-2","USA","Government","Technology Development","LEO","Cape Canaveral",0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"389","Genesis-1","USA","Commercial","Technology Development","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"390","Genesis-2","USA","Commercial","Technology Development","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"391","Cosmos 2517","Russia","Military","Earth Science","LEO","Plesetsk Cosmodrome",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"392","GeoEye-1","USA","Commercial/Government","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"393","Geomagnetic Tail Laboratory (Geotail)","USA","Government","Space Science","Elliptical","Cape Canaveral",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
"394","Globalstar FM4","USA","Commercial","Communications","LEO","Cape Canaveral",0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"395","Globalstar FM8","USA","Commercial","Communications","LEO","Cape Canaveral",0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"396","Globalstar M023","USA","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"397","Globalstar M026","USA","Commercial","Communications","LEO","Cape Canaveral",0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"398","Globalstar M027","USA","Commercial","Communications","LEO","Cape Canaveral",0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"399","Globalstar M028","USA","Commercial","Communications","LEO","Cape Canaveral",0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"400","Globalstar M029","USA","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"401","Globalstar M031","USA","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"402","Globalstar FM37","USA","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"403","Globalstar M039","USA","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"404","Globalstar M040","USA","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"405","Globalstar M056","USA","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"406","Globalstar M059","USA","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"407","Globalstar M063","USA","Commercial","Communications","LEO","Cape Canaveral",0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"408","Globalstar M065","USA/Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"409","Globalstar M066","USA/Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"410","Globalstar M067","USA/Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"411","Globalstar M068","USA/Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"412","Globalstar M069","USA/Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"413","Globalstar M070","USA/Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"414","Globalstar M071","USA/Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"415","Globalstar M072","USA/Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"416","Globalstar M073","Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"417","Globalstar M074","Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"418","Globalstar M075","Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"419","Globalstar M076","Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"420","Globalstar M077","Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"421","Globalstar M078","Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"422","Globalstar M079","Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"423","Globalstar M080","Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"424","Globalstar M081","Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"425","Globalstar M082","Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"426","Globalstar M083","Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"427","Globalstar M084","Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"428","Globalstar M085","Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"429","Globalstar M086","Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"430","Globalstar M088","Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"431","Globalstar M089","Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"432","Globalstar M090","Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"433","Globalstar M091","Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"434","Globalstar M092","Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"435","Globalstar M093","Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"436","Globalstar M094","Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"437","Globalstar M095","Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"438","Globalstar M096","Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"439","Globalstar M097","Italy","Commercial","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"440","Cosmos 2471","Russia","Military/Commercial","Navigation/Global Positioning","MEO","Plesetsk Cosmodrome",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"441","Cosmos 2501","Russia","Military/Commercial","Navigation/Global Positioning","MEO","Plesetsk Cosmodrome",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"442","Cosmos 2419","Russia","Military/Commercial","Navigation/Global Positioning","MEO","Baikonur Cosmodrome",0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"443","Cosmos 2424","Russia","Military/Commercial","Navigation/Global Positioning","MEO","Baikonur Cosmodrome",0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"444","Cosmos 2425","Russia","Military/Commercial","Navigation/Global Positioning","MEO","Baikonur Cosmodrome",0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
